run_id,ckpt_tag,obs_mode,policy_seed,repeat_idx,seed,env_idx,cubeA_x,cubeA_y,cubeA_z,cubeA_theta,cubeB_x,cubeB_y,cubeB_z,cubeB_theta,separation,relative_yaw,relative_yaw_mod90,success_once,success_at_end,ep_len,return,success,ever_success,first_success_step,is_cubeA_grasped,ever_is_cubeA_grasped,first_is_cubeA_grasped_step,is_cubeA_on_cubeB,ever_is_cubeA_on_cubeB,first_is_cubeA_on_cubeB_step,is_cubeA_static,ever_is_cubeA_static,first_is_cubeA_static_step,final_cubeA_x,final_cubeA_y,final_cubeA_z,cubeB_displacement
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1000,0,-0.04785773903131485,-0.07407275587320328,0.019999999552965164,2.2209872817820937,-0.08173010498285294,0.07316002249717712,0.019999999552965164,3.0202334063784635,0.15107888072730905,0.7992461245963698,-0.7715502021985268,1,1,200,102.0,1,1,99,0,1,48,1,1,95,1,1,1,-0.08478536456823349,0.07898088544607162,0.05999555438756943,9.240221951273555e-07
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1001,1,0.05034229904413223,-0.2028876543045044,0.019999999552965164,-0.5210688949504281,-0.08263708651065826,-0.15327969193458557,0.019999999552965164,2.9641981440572627,0.14193120486004798,-2.7979182681718955,0.34367438541789763,1,1,200,20.0,1,1,180,0,1,44,1,1,176,1,1,1,-0.06360240280628204,-0.16346800327301025,0.05999062955379486,0.001156535454262193
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1002,2,-0.18460272252559662,0.10331761091947556,0.019999999552965164,-0.8455889757184076,-0.08871804922819138,0.039706625044345856,0.019999999552965164,0.5927596083014035,0.11506619007056802,1.4383485840198111,-0.13244774277508542,0,0,200,0.0,0,0,-1,0,1,53,0,1,105,1,1,1,-0.10981984436511993,-0.04041767865419388,0.019999917596578598,0.015099375184117622
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1003,3,-0.0725330114364624,0.14834745228290558,0.019999999552965164,0.7187643832583208,-0.12859906256198883,-0.09700316190719604,0.019999999552965164,1.5220568196658313,0.2516750404236984,0.8032924364075105,-0.7675038903873861,0,0,200,0.0,0,0,-1,1,1,51,0,0,-1,0,1,1,-0.1310533881187439,-0.11569387465715408,0.026021171361207962,0.047272934518906164
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1004,4,0.046912021934986115,0.14068779349327087,0.019999999552965164,2.2368672889171304,0.01513960212469101,-0.2077348530292511,0.019999999552965164,2.353438922251207,0.3498682998934884,0.11657163333407672,0.11657163333407672,1,1,200,71.0,1,1,102,0,1,43,1,1,97,1,1,1,0.011634113267064095,-0.20058786869049072,0.059995222836732864,0.005101488555848075
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1005,5,-0.02319347858428955,-0.15072683990001678,0.019999999552965164,-1.1255664055702699,0.040308691561222076,0.03840318322181702,0.019999999552965164,2.885597031189213,0.19950611835042778,-2.2720218704201027,-0.7012255436252062,1,1,200,110.0,1,1,91,0,1,40,1,1,86,1,1,1,0.04398579150438309,0.0394337959587574,0.06000141054391861,2.0164800588375863e-07
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1006,6,0.04104688763618469,-0.18104928731918335,0.019999999552965164,-2.3946176437928006,-0.05414664000272751,-0.15272098779678345,0.019999999552965164,0.947653738176069,0.09931918373693545,-2.940913925210717,0.20067872837907608,1,1,200,96.0,1,1,105,0,1,50,1,1,102,1,1,1,-0.05261184275150299,-0.1525488644838333,0.05999819189310074,1.1586611062621145e-06
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1007,7,-0.11187456548213959,0.08201026916503906,0.019999999552965164,-2.3204125518543552,-0.01682988554239273,-0.06349869072437286,0.019999999552965164,-2.7640242863894686,0.17379973703359683,-0.4436117345351134,-0.4436117345351134,0,0,200,0.0,0,0,-1,1,1,56,0,1,109,0,1,1,0.052721355110406876,-0.028889063745737076,0.10796791315078735,0.0049547855661469945
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1008,8,-0.16040754318237305,-0.012469686567783356,0.019999999552965164,0.5783084686411777,-0.11167170107364655,-0.13701608777046204,0.019999999552965164,3.02268672334265,0.13374224597555298,2.4443782547014723,-0.6972143988883208,1,1,200,98.0,1,1,103,0,1,49,1,1,97,1,1,1,-0.11699847131967545,-0.1302734613418579,0.06000363081693649,1.008253793693842e-06
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1009,9,-0.09190875291824341,-0.054952748119831085,0.019999999552965164,-2.81225971090017,-0.10737548023462296,-0.14486154913902283,0.019999999552965164,-3.0396226132415105,0.09122944784765419,-0.2273629023413406,-0.2273629023413406,0,0,200,0.0,0,0,-1,0,1,43,0,0,-1,1,1,1,-0.07656753063201904,-0.07966408133506775,0.019999910145998,0.007153348797065539
